Franjas	Estres	Dulces
0	-1.35	-2.07
1	-1.35	1.09
0	-1.35	-1.42
1	-1.34	2.3
1	-1.34	1.77
0	-1.34	-1.9
0	-1.33	-1.8
0	-1.33	-2.11
2	-1.33	-1.08
1	-1.33	2.38
1	-1.33	1.47
1	-1.32	2.75
1	-1.32	2.02
0	-1.32	-2.05
1	-1.32	1.63
0	-1.32	-1.48
0	-1.31	-2.68
0	-1.31	-2.08
0	-1.31	-2.43
0	-1.31	-1.7
1	-1.3	1.76
1	-1.3	1.89
1	-1.3	2.27
0	-1.3	-1.85
1	-1.3	2.25
1	-1.3	1.79
1	-1.29	1.76
1	-1.29	1.84
1	-1.28	2.4
1	-1.28	2.07
0	-1.28	-1.58
0	-1.28	-2.44
0	-1.28	-2.99
0	-1.27	-1.29
1	-1.27	2.38
1	-1.27	2.03
1	-1.27	1.63
0	-1.27	-2
1	-1.27	1.92
0	-1.27	-2.41
0	-1.27	-1.88
0	-1.27	-1.28
1	-1.26	2.39
0	-1.26	-1.77
1	-1.26	2.57
1	-1.26	1.99
1	-1.26	2.6
1	-1.26	1.29
0	-1.26	-2.1
1	-1.26	1.7
1	-1.26	1.65
0	-1.26	-1.51
0	-1.26	-2.33
0	-1.26	-1.84
0	-1.26	-2.88
1	-1.25	0.96
0	-1.25	-1.76
1	-1.25	2.31
1	-1.25	2.65
0	-1.25	-0.97
1	-1.25	2.01
1	-1.24	2.35
0	-1.24	-1.61
0	-1.24	-1.26
1	-1.23	1.98
0	-1.23	-1.71
0	-1.23	-1.93
1	-1.23	1.77
1	-1.22	2.71
1	-1.22	2.2
0	-1.22	-1.14
0	-1.22	-2.47
0	-1.22	-1.64
0	-1.22	-2.15
1	-1.22	1.93
0	-1.21	-1.49
1	-1.21	3.15
0	-1.21	-2.36
0	-1.21	-2.32
1	-1.21	2.33
0	-1.21	-1.68
0	-1.21	-1.8
0	-1.2	-1.88
0	-1.2	-1.85
0	-1.2	-0.94
1	-1.2	1.58
0	-1.2	-3.48
0	-1.19	-2.17
1	-1.19	2.31
0	-1.19	-2.93
0	-1.19	-2.21
1	-1.19	1.49
0	-1.19	-2.42
1	-1.18	1.32
1	-1.18	2.69
0	-1.18	-1.78
0	-1.18	-2.58
0	-1.17	-2.02
1	-1.17	3.05
0	-1.17	-2.08
0	-1.17	-2.51
1	-1.17	2.35
1	-1.17	2.11
1	-1.17	2.54
1	-1.17	1.81
0	-1.16	-1.89
0	-1.16	-2.24
1	-1.16	2.13
1	-1.16	1.96
1	-1.16	1.45
0	-1.16	-3.01
1	-1.15	2.02
1	-1.15	2.47
1	-1.15	2.8
1	-1.15	2.41
1	-1.15	2.08
0	-1.15	-2
1	-1.15	0.95
0	-1.15	-2.04
1	-1.15	2.24
0	-1.14	-1.87
0	-1.14	-1.48
0	-1.13	-1.74
1	-1.13	2.85
1	-1.13	2.49
1	-1.13	1.21
0	-1.13	-2.18
0	-1.12	-2.06
1	-1.12	1.63
0	-1.12	-1.49
0	-1.12	-2.24
1	-1.12	1.53
1	-1.12	1.9
1	-1.12	1.86
1	-1.12	2.27
1	-1.12	1.9
1	-1.11	2.61
0	-1.11	-2.58
0	-1.11	-2.13
0	-1.11	-2.12
1	-1.11	2.77
1	-1.11	2.3
0	-1.1	-2.58
0	-1.1	-2.63
0	-1.1	-1.11
1	-1.09	1.91
0	-1.09	-2.75
1	-1.09	2.97
0	-1.09	-1.81
0	-1.09	-2.34
0	-1.09	-2.66
1	-1.09	2.15
0	-1.08	-2.23
1	-1.08	1.5
1	-1.07	2.01
0	-1.07	-2.86
0	-1.07	-1.07
1	-1.07	1.56
0	-1.07	-2
0	-1.07	-1.95
0	-1.06	-1.55
0	-1.06	-2.8
1	-1.06	1.9
1	-1.05	2.07
1	-1.05	1.53
0	-1.05	-1.8
1	-1.05	2.13
0	-1.05	-1.72
0	-1.05	-2.24
0	-1.05	-2.21
1	-1.05	2.16
0	-1.05	-1.78
0	-1.04	-2.04
1	-1.04	2.51
1	-1.03	3
0	-1.03	-0.98
1	-1.03	1.77
0	-1.03	-1.94
0	-1.03	-1.94
1	-1.02	1.17
0	-1.02	-2.98
1	-1.02	2.19
0	-1.02	-1.86
0	-1.02	-1.74
0	-1.02	-1.52
0	-1.02	-2.11
0	-1.02	-1.91
0	-1.01	-2.09
1	-1.01	2.24
0	-1.01	-1.81
1	-1.01	2.02
0	-1.01	-2.18
0	-1.01	-2.49
0	-1.01	-2.76
1	-1.01	1.87
0	-1.01	-2.75
0	-1.01	-2.04
0	-1	-2.33
0	-1	-2.68
1	-1	0.88
1	-1	2.31
1	-1	1.77
1	-1	2.28
0	-0.99	-2.14
1	-0.99	0.94
0	-0.99	-2.01
0	-0.99	-1.05
1	-0.99	1.97
1	-0.99	1.68
0	-0.98	-1.61
0	-0.98	-2.48
0	-0.98	-2.09
1	-0.98	1.91
0	-0.98	-2.73
1	-0.98	1.02
1	-0.98	1.58
0	-0.97	-2.69
0	-0.97	-2.83
1	-0.97	1.01
0	-0.97	-2.37
1	-0.97	1.66
0	-0.96	-1.37
1	-0.96	2.35
1	-0.96	1.75
0	-0.96	-2.01
1	-0.96	1.48
1	-0.96	2.22
1	-0.95	1.66
0	-0.95	-2.54
1	-0.95	1.55
1	-0.95	2.18
1	-0.95	2.34
0	-0.95	-2.49
0	-0.95	-2.46
1	-0.94	2.8
0	-0.94	-1.69
1	-0.94	2.03
0	-0.94	-2.17
0	-0.94	-1.87
1	-0.94	2.41
0	-0.94	-2.19
0	-0.93	-1.55
1	-0.93	1.08
1	-0.93	2.07
0	-0.93	-2.76
0	-0.93	-2.34
1	-0.93	1.24
0	-0.92	-2.2
1	-0.92	2.95
1	-0.92	1.61
0	-0.92	-1.4
1	-0.91	0.9
0	-0.91	-1.86
1	-0.91	1.06
0	-0.91	-1.73
0	-0.91	-2.9
0	-0.91	-1.71
0	-0.91	-1.74
1	-0.91	3.33
0	-0.91	-1.61
1	-0.91	1.54
0	-0.9	-1.71
1	-0.9	2.47
0	-0.9	-3.06
1	-0.9	1.65
0	-0.9	-1.83
0	-0.89	-2.7
0	-0.89	-1.46
1	-0.89	1.04
1	-0.88	2.39
0	-0.88	-1.4
1	-0.88	2.52
0	-0.88	-2.15
1	-0.88	1.59
1	-0.88	2.46
0	-0.87	-1.84
0	-0.87	-1.93
0	-0.87	-2.24
1	-0.87	1.76
1	-0.87	1.78
1	-0.87	2.7
1	-0.87	1.99
0	-0.87	-1.46
0	-0.86	-2.06
1	-0.86	1
1	-0.86	1.73
0	-0.85	-1.82
1	-0.85	3.32
1	-0.85	1.18
1	-0.85	1.57
0	-0.85	-2.69
0	-0.84	-1.96
1	-0.84	1.47
1	-0.84	2.13
1	-0.84	1.89
1	-0.84	1.7
0	-0.84	-1.42
1	-0.83	1.48
1	-0.83	1.79
1	-0.83	2.31
0	-0.83	-2.4
1	-0.83	2.9
0	-0.82	-2.48
1	-0.82	2.81
1	-0.82	1.48
0	-0.82	-1.92
0	-0.82	-1.85
0	-0.82	-2.94
1	-0.82	2.22
0	-0.81	-2.52
1	-0.81	2.28
1	-0.81	1.4
0	-0.81	-1.59
1	-0.81	2.13
0	-0.81	-1.48
0	-0.8	-1.91
0	-0.8	-1.05
1	-0.8	3.01
0	-0.8	-1.3
0	-0.8	-2.3
0	-0.8	-1.81
1	-0.79	1.82
0	-0.79	-2.68
1	-0.79	2
0	-0.79	-2.27
1	-0.78	2.07
0	-0.78	-1.99
0	-0.78	-1.69
0	-0.78	-2.15
0	-0.78	-1.74
0	-0.77	-2.2
0	-0.77	-1.69
1	-0.77	2.49
0	-0.77	-1.72
2	-0.77	-1.61
1	-0.77	2.14
0	-0.77	-2.23
1	-0.77	1.82
0	-0.77	-2.17
0	-0.76	-1.7
0	-0.76	-2.13
1	-0.76	1.5
0	-0.76	-2.87
1	-0.76	0.56
0	-0.75	-1.18
1	-0.75	1.4
0	-0.75	-2.07
0	-0.75	-2.16
0	-0.75	-2.06
2	-0.75	-1.27
0	-0.75	-2.29
1	-0.74	1.4
1	-0.74	2.3
0	-0.74	-2.5
0	-0.74	-1.84
1	-0.74	1.96
1	-0.73	2.36
0	-0.73	-1.32
1	-0.72	1.76
1	-0.72	1.72
0	-0.72	-1.44
1	-0.72	2.11
1	-0.72	2.57
1	-0.72	2.59
0	-0.72	-1.24
1	-0.72	2.79
0	-0.72	-2.38
0	-0.71	-1.52
0	-0.71	-1.45
0	-0.71	-1.95
2	-0.71	-0.86
0	-0.71	-1.86
0	-0.7	-1.32
0	-0.7	-2.36
1	-0.7	1.94
0	-0.7	-2.26
1	-0.7	1.66
0	-0.7	-2.42
0	-0.69	-2.74
0	-0.69	-1.95
0	-0.69	-1.56
0	-0.69	-1.47
1	-0.68	2.26
0	-0.68	-2.31
1	-0.68	2.06
1	-0.67	1.13
0	-0.67	-1.74
0	-0.66	-1.64
1	-0.66	2.61
2	-0.66	-0.73
0	-0.66	-2.19
2	-0.66	-1.05
0	-0.66	-1.35
0	-0.66	-2.18
1	-0.66	1.63
1	-0.65	1.8
1	-0.65	1.32
0	-0.65	-1.71
1	-0.65	0.59
1	-0.64	2.7
0	-0.64	-1.72
1	-0.64	1.98
1	-0.64	1.78
1	-0.63	1.73
0	-0.63	-2.4
1	-0.63	2.2
1	-0.63	1.56
0	-0.63	-1.5
0	-0.63	-2.54
1	-0.63	2.25
1	-0.61	2.01
1	-0.61	2.23
0	-0.61	-1.81
0	-0.61	-2.98
1	-0.6	1.53
1	-0.6	1.46
1	-0.6	2.92
1	-0.6	1.79
0	-0.58	-2.38
1	-0.58	1.54
1	-0.58	0.49
1	-0.58	2.75
1	-0.58	3.08
0	-0.58	-2.39
1	-0.57	2.25
1	-0.57	3.01
0	-0.56	-2.25
1	-0.56	1.86
0	-0.56	-1.83
1	-0.56	2.22
0	-0.55	-2.85
0	-0.55	-1.94
1	-0.55	2.48
1	-0.55	2.66
0	-0.54	-2.28
1	-0.54	2.86
1	-0.54	1.43
1	-0.54	1.74
0	-0.54	-1.85
1	-0.53	2.13
2	-0.53	-0.12
1	-0.52	1.75
0	-0.52	-1.3
0	-0.52	-2.14
1	-0.51	2.54
1	-0.51	2.06
2	-0.51	-1.21
0	-0.5	-1.96
0	-0.5	-1.22
0	-0.5	-2.47
1	-0.49	1.63
0	-0.49	-2.13
1	-0.49	1.68
2	-0.48	-1.23
1	-0.48	1.9
1	-0.48	2.74
0	-0.48	-1.61
1	-0.48	2.12
0	-0.48	-1.95
0	-0.47	-1.43
0	-0.47	-1.62
0	-0.47	-2.34
1	-0.47	1.63
0	-0.46	-2.21
0	-0.46	-1.85
0	-0.46	-2.78
0	-0.45	-1.94
0	-0.45	-2.24
2	-0.45	-1.39
1	-0.45	2.03
1	-0.45	1.89
0	-0.45	-2.45
1	-0.45	2.05
2	-0.44	-1.14
0	-0.44	-1.95
0	-0.43	-2.08
0	-0.43	-2.43
2	-0.43	-0.8
1	-0.43	2.34
0	-0.43	-1.33
1	-0.43	3.51
1	-0.42	2.88
0	-0.42	-2.41
2	-0.42	-0.69
1	-0.42	2.05
1	-0.42	1.75
1	-0.41	1.89
0	-0.41	-2.75
0	-0.41	-2.9
1	-0.4	2.39
2	-0.4	-1.2
1	-0.4	2.12
1	-0.4	1.17
1	-0.4	1.17
1	-0.39	2.08
1	-0.39	1.53
1	-0.39	1.74
0	-0.38	-1.69
2	-0.38	0.45
0	-0.38	-3.08
1	-0.38	2.28
0	-0.37	-2.33
0	-0.37	-1.44
0	-0.36	-0.81
1	-0.36	2.27
0	-0.36	-1.62
2	-0.36	-0.77
0	-0.36	-2.37
1	-0.36	1.8
2	-0.36	-1.19
0	-0.36	-1.46
1	-0.35	1.35
1	-0.35	1.65
0	-0.34	-2.74
2	-0.34	-1.49
1	-0.34	1.47
0	-0.34	-2.1
1	-0.33	1.83
2	-0.33	-0.27
1	-0.33	2.22
1	-0.33	2.53
0	-0.33	-3.08
1	-0.33	1.87
1	-0.33	1.15
0	-0.32	-2.33
0	-0.32	-2.44
0	-0.32	-2.3
1	-0.32	2.69
1	-0.32	1.71
2	-0.32	-0.73
0	-0.31	-2.42
1	-0.31	1.1
1	-0.3	2.02
1	-0.3	1.78
2	-0.3	-1.44
1	-0.3	2.63
2	-0.3	-0.69
0	-0.29	-0.89
2	-0.29	-0.49
1	-0.28	1.59
1	-0.27	1.71
1	-0.27	2.62
0	-0.27	-1.87
1	-0.26	3.28
2	-0.26	-1.37
1	-0.25	1.9
0	-0.25	-1.64
1	-0.25	3.07
0	-0.25	-1.72
0	-0.25	-1.87
0	-0.24	-2.48
2	-0.24	0.54
2	-0.24	-1.19
1	-0.22	2.65
2	-0.21	-0.04
0	-0.21	-1.65
1	-0.21	1.65
2	-0.2	-0.65
0	-0.2	-1.97
2	-0.2	-1.71
2	-0.19	-1.63
0	-0.19	-2.69
1	-0.19	1.02
2	-0.18	-0.94
1	-0.18	1.78
1	-0.18	1.9
0	-0.17	-2.03
2	-0.17	-1.36
2	-0.17	-0.24
1	-0.16	1.79
1	-0.16	1.95
2	-0.14	-0.75
2	-0.13	-1.24
1	-0.13	1.79
2	-0.12	-0.11
0	-0.12	-2.32
0	-0.12	-2.86
0	-0.12	-2
2	-0.11	-1.88
2	-0.11	-0.94
2	-0.11	-0.94
2	-0.11	-1.21
1	-0.1	1.4
2	-0.1	-2.04
2	-0.1	-1.43
1	-0.1	1.98
2	-0.09	-1.04
2	-0.07	-1.51
0	-0.07	-1.67
1	-0.06	2.55
2	-0.06	-1.05
0	-0.06	-1.72
2	-0.06	-1.43
2	-0.06	-1.47
2	-0.06	-0.09
2	-0.04	-0.81
0	-0.04	-2.38
2	-0.04	-0.4
2	-0.02	-1.22
1	-0.02	1.56
2	-0.02	-1.69
1	-0.01	2.36
2	0	-1.5
2	0	-0.67
1	0.01	2.96
2	0.01	-0.7
2	0.02	-2.1
2	0.02	-1.2
2	0.02	-0.16
2	0.03	-1.41
1	0.03	2.02
0	0.03	-2.65
2	0.04	-0.33
2	0.04	-1.64
0	0.05	-1.85
2	0.05	-1.08
2	0.06	-1.12
2	0.06	-2.05
2	0.07	-1.42
2	0.07	-0.65
1	0.08	1.88
2	0.08	-1.13
2	0.08	-0.31
2	0.08	-0.93
0	0.09	-2.04
2	0.1	-1.05
2	0.11	-1.4
1	0.11	2.29
2	0.12	-1.25
2	0.13	-1.41
2	0.13	-1.63
2	0.13	-0.52
2	0.15	-0.76
0	0.16	-1.37
2	0.16	-1.05
2	0.16	-1.18
2	0.17	-0.25
2	0.17	-0.83
2	0.17	-0.77
2	0.17	-1.64
0	0.18	-2.26
2	0.18	-1.29
2	0.19	-1.22
2	0.19	-1.55
2	0.19	-0.3
2	0.19	-1.03
2	0.2	-1.24
2	0.2	-0.66
2	0.21	-0.93
1	0.21	1.81
2	0.21	-0.89
2	0.21	-1.1
2	0.22	-1.5
2	0.23	-0.46
2	0.24	-1.45
2	0.25	-1.64
2	0.25	-0.64
2	0.25	-0.28
2	0.26	-1.07
2	0.27	-0.25
2	0.27	-0.86
2	0.27	0.41
2	0.27	-0.21
2	0.28	-1.37
2	0.28	-1.65
2	0.29	-0.64
2	0.29	-1.17
2	0.3	-1.48
2	0.3	-1.2
2	0.3	-0.68
2	0.31	-0.19
2	0.31	-0.54
2	0.31	-1.12
2	0.31	-0.84
2	0.32	-0.63
2	0.32	-0.97
2	0.32	-1.42
2	0.33	-0.5
0	0.33	-2.44
2	0.33	-0.77
2	0.34	-0.07
2	0.34	-0.64
2	0.34	-0.97
2	0.34	-0.89
2	0.35	-1.22
2	0.35	-1.09
1	0.35	2.16
2	0.35	-1.1
2	0.35	-0.37
2	0.36	-1.32
2	0.36	-1.45
2	0.37	-1.54
2	0.37	-1.04
1	0.37	2.25
2	0.37	-0.49
2	0.37	-0.68
2	0.38	-1.11
2	0.38	-0.81
2	0.38	-0.15
2	0.38	-0.63
2	0.39	-1.26
2	0.39	-1.99
2	0.4	-2.29
2	0.4	-1.03
2	0.4	-1.29
2	0.4	-0.66
2	0.41	-2.04
2	0.41	-1.77
2	0.41	-1.15
2	0.41	-1.49
2	0.42	-1.66
2	0.42	-1.46
2	0.42	-0.74
1	0.42	2.35
2	0.42	-1.57
2	0.42	-1.33
2	0.43	-0.53
2	0.43	-1.01
2	0.43	-0.8
2	0.43	-0.56
2	0.44	-0.77
2	0.44	-0.42
2	0.44	-0.46
2	0.45	-0.39
2	0.45	-1.12
2	0.45	-1.2
2	0.45	-1.25
2	0.46	-1.1
2	0.46	0.03
2	0.46	-0.36
2	0.47	-0.36
2	0.47	-0.75
2	0.48	-0.47
2	0.48	-0.73
2	0.48	-1.81
2	0.49	-1
2	0.49	-0.9
2	0.49	-1.44
2	0.49	-1.06
2	0.5	-1.5
2	0.5	-2.31
2	0.51	-0.92
2	0.51	-1
2	0.52	-0.7
2	0.52	-1.33
2	0.52	-1.11
2	0.53	-1.61
2	0.53	-1.48
2	0.53	-1.81
2	0.54	-0.84
2	0.54	-1.3
2	0.54	-1.31
2	0.54	-1.23
2	0.55	-1.38
2	0.55	-0.45
2	0.55	-1.7
2	0.55	-1.72
2	0.55	-0.98
0	0.55	-1.5
2	0.56	-1.43
2	0.56	-0.69
2	0.56	-1.52
2	0.57	-0.99
2	0.57	-1.96
2	0.58	-1.17
2	0.58	-1.58
2	0.59	-0.56
2	0.59	-0.53
2	0.59	-0.84
2	0.6	-0.43
2	0.6	-1.21
2	0.61	-0.87
2	0.61	-0.55
2	0.63	-0.59
2	0.63	-0.63
2	0.63	-0.75
2	0.64	-1.33
2	0.64	-1.19
2	0.64	-1.45
2	0.64	-1.85
2	0.65	-1.12
2	0.65	-0.41
2	0.65	-0.2
2	0.65	-1.48
2	0.65	-1.06
2	0.65	-1.55
2	0.65	-1.3
2	0.66	-0.55
2	0.66	-1.12
2	0.66	-0.3
2	0.67	-0.57
2	0.67	-1.69
2	0.68	0.2
2	0.68	-1.46
2	0.68	-0.65
2	0.68	-1.59
2	0.69	-0.47
2	0.69	-0.68
2	0.7	-1.22
3	0.7	0.57
2	0.7	-1.17
2	0.7	-1.1
2	0.71	-0.86
2	0.71	-0.18
2	0.71	-1.91
2	0.72	-0.67
2	0.72	-0.67
2	0.73	-0.82
2	0.73	-1.78
2	0.74	-0.34
2	0.74	-0.52
2	0.75	-0.16
2	0.75	0.23
2	0.75	-0.76
2	0.77	-0.64
2	0.77	-1.29
2	0.77	-2.23
2	0.78	-1.89
2	0.78	-0.41
2	0.78	-1.22
2	0.78	-1.46
2	0.78	-0.54
2	0.78	-0.52
2	0.79	-1.63
2	0.79	-0.36
2	0.79	-0.09
2	0.8	-1.7
2	0.8	-0.98
2	0.8	-0.59
2	0.81	-0.64
2	0.81	-0.94
2	0.81	-1.43
2	0.82	-0.58
3	0.82	0.73
2	0.82	-0.95
3	0.82	1.13
2	0.82	-0.85
2	0.82	-1.47
2	0.82	-0.69
2	0.83	-0.88
2	0.83	-1.41
2	0.83	-1.3
3	0.83	1.06
2	0.83	-1.03
2	0.84	-0.21
2	0.85	-0.81
2	0.85	-0.12
2	0.85	-1.97
2	0.85	-1.16
3	0.85	1.79
2	0.85	-1.36
2	0.85	-0.62
2	0.85	-0.8
2	0.86	-1.66
2	0.86	-1.91
2	0.86	-0.39
2	0.86	-0.98
2	0.86	-0.8
2	0.86	-0.85
2	0.87	-1.54
2	0.87	-1.19
2	0.87	-1.56
2	0.88	-1.48
2	0.89	-0.26
2	0.89	0.19
2	0.9	-1.62
2	0.91	-1.42
2	0.92	-0.24
2	0.92	-0.64
2	0.92	-0.94
3	0.93	0.49
2	0.93	-0.14
2	0.94	-1.03
2	0.95	-0.52
3	0.96	0.93
3	0.96	1.3
2	0.96	-0.25
2	0.96	-1.57
2	0.97	-1.5
2	0.99	-1.24
2	0.99	0.23
2	0.99	-0.16
2	0.99	-1.07
2	0.99	-0.49
2	1	-1.23
2	1.01	-1.19
2	1.01	-1.55
2	1.01	-0.08
2	1.01	-1.07
3	1.01	1.58
2	1.01	-0.06
2	1.01	-0.89
3	1.02	0.92
3	1.02	0.92
2	1.02	-1.13
2	1.02	-1.73
2	1.04	-1.18
2	1.04	-0.81
2	1.04	-0.28
3	1.05	1.25
2	1.05	-0.44
2	1.06	-1.44
2	1.06	-0.35
2	1.06	-0.77
2	1.07	-0.81
2	1.07	-0.97
2	1.07	-1.42
2	1.08	-1.25
3	1.08	1.67
3	1.09	1.13
3	1.1	1.99
3	1.1	0.39
2	1.12	-0.09
3	1.12	1.54
2	1.13	-0.09
3	1.13	0.55
3	1.14	0.61
2	1.14	-0.23
3	1.16	0.83
3	1.16	0.8
2	1.16	-0.92
2	1.16	-0.99
2	1.17	-0.84
2	1.17	-0.91
2	1.18	-0.53
2	1.19	-1.24
3	1.19	0.83
2	1.19	-1.14
2	1.2	-0.67
2	1.21	-1.25
3	1.21	1.15
2	1.24	-1.19
3	1.24	1
3	1.24	1.02
2	1.25	-1.19
1	1.26	1.84
2	1.27	-1.27
3	1.27	1.18
3	1.27	2.29
2	1.27	-0.88
2	1.27	-2.03
3	1.28	0.66
2	1.28	-1.25
3	1.28	0.67
2	1.29	-1.19
3	1.3	0.98
3	1.3	1.26
2	1.3	-0.46
2	1.31	-1.69
2	1.31	-1.9
3	1.32	1.33
2	1.32	-1.47
3	1.33	0.41
3	1.33	0.36
2	1.33	-0.6
3	1.34	1.49
2	1.34	-1.2
2	1.34	-1.27
3	1.36	1.79
2	1.36	-1.81
2	1.36	-0.56
2	1.36	-1.99
2	1.37	-0.58
3	1.37	1.42
3	1.37	1.54
2	1.37	-0.95
3	1.38	0.77
3	1.38	1.31
3	1.38	0.5
2	1.4	-1
3	1.4	1
2	1.41	-1.03
3	1.41	1.27
3	1.42	1.08
3	1.42	-0.56
3	1.42	2.04
3	1.44	0.72
3	1.44	0.42
3	1.44	0.77
3	1.45	1.12
3	1.45	1.33
3	1.45	1.38
3	1.47	1.22
3	1.48	0.65
3	1.48	1.58
3	1.48	1.25
3	1.48	0.49
2	1.49	-0.16
3	1.49	1.18
3	1.5	1.13
2	1.51	-1.24
2	1.51	-0.94
2	1.51	-1.9
3	1.51	0.34
3	1.51	0.9
3	1.51	0.3
3	1.52	1.61
3	1.52	0.55
3	1.52	0.98
3	1.53	0.43
3	1.53	1.17
3	1.54	0.86
3	1.55	0.7
3	1.57	1.08
3	1.57	1.18
3	1.58	-0.15
3	1.58	1.22
3	1.58	1.27
2	1.58	-0.85
3	1.58	1.24
2	1.58	-0.97
3	1.58	0.9
3	1.59	0.46
3	1.59	0.28
3	1.59	1.7
3	1.6	0.73
3	1.6	0.68
3	1.6	0.65
3	1.6	0.56
3	1.6	1.59
2	1.6	-0.2
3	1.6	1.05
2	1.61	-0.04
3	1.63	0.82
3	1.66	0.95
3	1.66	0.32
3	1.66	0.85
3	1.66	0.56
3	1.66	0.62
3	1.68	2.1
3	1.68	0.93
3	1.68	1.4
3	1.69	0.81
3	1.7	0.54
3	1.7	0.15
3	1.7	0.63
3	1.7	1.22
3	1.71	1.67
3	1.71	1.05
3	1.71	0.33
3	1.71	1.56
3	1.72	0.84
3	1.73	0.84
3	1.73	1.17
3	1.74	0.76
3	1.75	1.2
3	1.75	0.7
3	1.75	0.46
3	1.76	1
3	1.76	0.98
3	1.76	1.66
3	1.77	1.38
3	1.77	1.25
3	1.77	1.18
3	1.78	1.29
3	1.78	0.37
3	1.79	0.69
3	1.79	1.24
3	1.8	2.17
3	1.8	0.19
3	1.81	1.58
3	1.81	1.92
3	1.81	0.03
3	1.81	1.19
3	1.82	0.41
